dtstart,uid,description,summary
2025-03-10,event-assignment-1096613,"\n-Lecture 16 - Recursion & Linked Lists\n \n\nIn this lecture we look at some additional examples of Recursion and then introduce the Linked List. We look at how they are structures, how we can create them and how we can modify existing lists using recursive methods. We also compare the performance and use of linked lists with regular Python lists.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nLinked Lists\n \n\n Transcript Forthcoming\n\nCreating Linked Lists\n \n\n Transcript Forthcoming\n\nMutating Linked Lists\n \n\n Transcript Forthcoming\n\n \n\n \n\n",Videos - Lecture 16 - Recursion & Linked Lists [C S 111 - Winter25]
2025-03-11,event-assignment-1049350,"\n- Lab 15\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab15), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 15 [C S 111 - Winter25]
2025-03-11,event-assignment-1073967,Do WA 26 - 4.4 L'Hospital's Rule on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #26: Section 4.4 [MATH 112 001-007]
2025-03-12,event-assignment-1049361,"\n- Project 2\n\n \n\n Instructions\n \n\n[Instructions for this project] (https://cs111.byu.edu/Projects/project02/), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\nAfter you've finished, please give your [feedback on this survey] (https://byu.az1.qualtrics.com/jfe/form/SV_6P9aonBkwyFbygm)\n\n \n\n \n\n",Project 2 [C S 111 - Winter25]
2025-03-12,event-assignment-1073927,"Section 4.4: 4, 13, 19, 22, 27, 32, 46, 53, 59",Paper HW #26 (Sect 4.4) [MATH 112 001-007]
2025-03-12,event-assignment-1096614,"\n-Lecture 17 - Tree Recursion & Trees\n \n\nIn this lecture we start by looking at how the placement of the recursive call affects the processing of our functions and then look at tree recursion where we make more than one recursive call within a single function.\n\nWe then look at MergeSort as an application of tree recursion.\n\nFinally, we begin our look at trees as a data structure.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nOrder of Recursive Calls\n \n\n Transcript Forthcoming\n\nTree Recursion\n \n\n Transcript Forthcoming\n\nCounting Partitions Example\n \n\n Transcript Forthcoming\n\nMergesort\n \n\n Transcript Forthcoming\n\nTrees\n \n\n Transcript Forthcoming\n\nWorking with Trees\n \n\n Transcript Forthcoming\n\n \n\n \n\n \n\n",Videos - Lecture 17 - Tree Recursion & Trees [C S 111 - Winter25]
2025-03-13,event-assignment-1049351,"\n- Lab 16\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab16), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 16 [C S 111 - Winter25]
2025-03-13,event-assignment-1073968,Do WA 27 - 4.5 Curve Sketching on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #27: Section 4.5 [MATH 112 001-007]
2025-03-14,event-assignment-1073928,"Section 4.5: 5, 9, 29, 34",Paper HW #27 (Sect 4.5) [MATH 112 001-007]
2025-03-15,event-assignment-1073969,Do WA 28 - 4.7 Optimization Pt. 1 on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #28: Section 4.7 Pt. 1 [MATH 112 001-007]
2025-03-17,event-assignment-1073929,"Section 4.7a: 10, 15, 26, 41",Paper HW #28 (Sect 4.7a) [MATH 112 001-007]
2025-03-17,event-assignment-1096615,"\n- Lecture 18 - Trees & Language\n \n\nIn this lecture we continue our look at the Tree data structure. We look at the tree abstraction, different implementations of the tree abstraction, and how to work with tree structures, both creating and modifying them. We end the lecture with a discussion of recursive object in general.\n\nWe conclude the tree discussion by pivoting to topics related to Project 3 and looking at languages, both spoken and computer, and how they can be represented by a tree structure and spend some time discussing language syntax and semantics.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nWorking With Trees\n \n\n Transcript Forthcoming\n\nAbstraction and Trees\n \n\n Transcript Forthcoming\n\nTrees Everywhere\n \n\n Transcript Forthcoming\n\nA Tree Class\n \n\n Transcript Forthcoming\n\nTree Mutation\n \n\n Transcript Forthcoming\n\nRecursive Objects\n \n\n Transcript Forthcoming\n\n \n\nSyntax Trees\n \n\n Transcript Forthcoming\n\n \n\nSyntax Tree Representation\n \n\n Transcript Forthcoming\n\n \n\nProgramming Languages\n \n\n Transcript Forthcoming\n\n \n\n \n\n \n\n",Videos - Lecture 18 - Trees & Language [C S 111 - Winter25]
2025-03-18,event-assignment-1073971,Do WA 29 - 4.7 Optimization Pt. 2 on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #29: Section 4.7 Pt. 2 [MATH 112 001-007]
2025-03-19,event-assignment-1049333,"\n- Homework 5\n\n \n\n Instructions\n \n\n[Instructions for this homework] (https://cs111.byu.edu/Homework/homework05), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\nAfter you've finished, please give your [feedback on this survey] (https://byu.az1.qualtrics.com/jfe/form/SV_6P9aonBkwyFbygm)\n\n \n\n \n\n",Homework 5 [C S 111 - Winter25]
2025-03-19,event-assignment-1073931,"Section 4.7b: 21, 65, 67, 77",Paper HW #29 (Sect 4.7b) [MATH 112 001-007]
2025-03-19,event-assignment-1096616,"\n- Lecture 19 - The Calculator Language\n \n\nIn this lecture we introduce the Calculator language that will be the basis for project 3. We talk about how interactive language interpreters, such as the Python interpreter, work. We then look at the steps of the Read-Parse-Evaluate loop used by interpreters using our language syntax examples and our calculator language as examples as we look at each step of the process.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nThe Calculator Language\n \n\n Transcript Forthcoming\n\nInteractive Interpreters\n \n\n Transcript Forthcoming\n\nLexing\n \n\n Transcript Forthcoming\n\nParsing\n \n\n Transcript Forthcoming\n\nEvaluation\n \n\n Transcript Forthcoming\n\n \n\n \n\n",Videos - Lecture 19 - The Calculator Language [C S 111 - Winter25]
2025-03-20,event-assignment-1049352,"\n- Lab 17\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab17), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 17 [C S 111 - Winter25]
2025-03-20,event-assignment-1073972,Do WA 30 - 4.8 Newton's Method on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #30: Section 4.8 [MATH 112 001-007]
2025-03-24,event-assignment-1073932,"Section 4.8: 1, 2, 5, 7, 13, 29",Paper HW #30 (Sect 4.8) [MATH 112 001-007]
2025-03-24,event-assignment-1098448,"\n- Lecture 20 - Regular Expressions\n \n\nIn this lecture we introduce regular expressions, a declarative, domain-specific language for matching patterns in strings. We introduce the basics of regular expressions, a website that you can use to test your regular expressions, how they work in Python, and possible ambiguities and limitations with regular expressions. We then move to start talking about the concept of efficiency in our software.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nRegular Expressions\n \n\n Transcript Forthcoming\n\nRegex 101 website\n \n\n Transcript Forthcoming\n\nRegex in Python\n \n\n Transcript Forthcoming\n\nResolving Ambiguity\n \n\n Transcript Forthcoming\n\nEfficiency\n \n\n Transcript Forthcoming\n\n \n\n \n\n",Videos - Lecture 20 - Regular Expressions [C S 111 - Winter25]
2025-03-25,event-assignment-1073973,Do WA 31 - 4.9 on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #31: Section 4.9 [MATH 112 001-007]
2025-03-25,event-assignment-1049353,"\n- Lab 18\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab18), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 18 [C S 111 - Winter25]
2025-03-26,event-assignment-1049334,"\n- Homework 6\n\n \n\n Instructions\n \n\n[Instructions for this homework] (https://cs111.byu.edu/Homework/homework06), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\nAfter you've finished, please give your [feedback on this survey] (https://byu.az1.qualtrics.com/jfe/form/SV_6P9aonBkwyFbygm)\n\n \n\n \n\n",Homework 6 [C S 111 - Winter25]
2025-03-26,event-assignment-1073933,"Section 4.9: 13, 19, 34, 38, 47, 57, 59, 71, 77",Paper HW #31 (Sect 4.9) [MATH 112 001-007]
2025-03-26,event-assignment-1098449,"\n- Lecture 21- Big-O & Machine Learning\n \n\nThe first part of this lecture looks at how we measure the efficiency of an algorithm and the terminology we use when discussing it. We look at an example of different algorithms that do the same job but with different efficiency, discuss Big-O notation, space/memory efficiency, and finally look at memoization or caching as a way to improve efficiency using the virfib() function as an example.\n\nAfter discussing efficiency, we pivot to look at Machine Learning, a popular topic that permeates modern society. We briefly talk about what machine learning is and how it fits in with the larger contexts of artificial intelligence and data science, and then look at some examples of machine learning processes and applications.\n\nIf you want to play with it more after the lecture, here is [the code used in the videos] (https://byu.instructure.com/courses/27227/files/9734424?wrap=1)[Download the code used in the videos] (https://byu.instructure.com/courses/27227/files/9734424/download).\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nOrders of Growth\n \n\n Transcript Forthcoming\n\nSpace\n \n\n Transcript Forthcoming\n\nMemoization\n \n\n Transcript Forthcoming\n\nWhat is Machine Learning?\n \n\n Transcript Forthcoming\n\nText Prediction\n \n\n Transcript Forthcoming\n\nNeural Networks\n \n\n Transcript Forthcoming\n\n \n\n \n\n \n\n",Videos - Lecture 21- Big-O & Machine Learning [C S 111 - Winter25]
2025-03-27,event-assignment-1073906,,Midterm #3 [MATH 112 001-007]
2025-03-27,event-assignment-1049359,"READ ALL OF THESE INSTRUCTIONS\n\nYou may use both sides of one 8.5 x 11 sheet of paper filled with notes you made yourself. You may use a computer to make the sheet of notes if you so choose (in this case, print out the page of notes onto physical paper). That page of notes will be your only resource (besides blank scratch paper). You are also allowed a calculator and a dictionary if you need one.\n\nThe test is administered in the Testing Center. Please visit the [Testing Center website] (https://testing.byu.edu/my-exams) for hours, availability, and late fee information.",Midterm 2 [C S 111 - Winter25]
2025-03-27,event-assignment-1073974,Do WA 32 - Appx. E Sigma Notation on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #32: Section Appx. E [MATH 112 001-007]
2025-03-28,event-assignment-1074484,\n- Free Coding Project Reflection\n\n \n\n Instructions\n \n\nThe purpose of this part of the Free Coding project is for your to spend some time thinking about your coding experiences and reflect on that experience. Answer the following questions about your project in the boxes below.\n\n* What was the most interesting thing you learned while working on the project?\n\n* What was the most challenging thing you experienced while working on the project?\n\n* What did you do to overcome that challenge?\n\n* What was the most exciting thing that happened while working on the project?\n\nThere are no right or wrong answers to these questions as everyone's experience will be different. Just honestly reflect on your work and tell us about it.\n\n \n\n,Free Coding Project Reflection [C S 111 - Winter25]
2025-03-28,event-assignment-1073703,"\n- Free Coding Project Implementation\n \n\n Instructions\n \n\nBy the end of week 12 (after the second midterm), you need to submit your initial work on the project. You don’t have to be done, but you should be making progress. This consists of two parts.\n\nThe first (80 points) is to sit down with a TA (either in person or virtually) and go over the code you wrote, demonstrating what it does and how it works. Part of this will be explaining to the TA how much time you spent on the project and showing them your work log. To get full credit for this part of the project, you need to spend at least 10 hours working on it and you get 8 points per hour spent. Those don’t have to be 10 hours coding. If you needed to learn something new to implement your project, the time spent learning those things counts toward your hours. Just record what you were doing in your work log. If you haven’t spent the full 10 hours yet, you can still receive the points if you put in the time by the end of the semester.\n\nOnce you’ve completed your 10 hours of work and uploaded your work log, the second part (10 points) is [filling out a short reflection questionnaire] (https://byu.instructure.com/courses/27227/assignments/1074484) about your experience working on the project.\n\n \n\n",Free Coding Project Implementation [C S 111 - Winter25]
2025-03-28,event-assignment-1073934,"Section Appx E: 5, 10, 13, 20, 23, 30, 33, 41cd, 43",Paper HW #32 (Sect Appx E) [MATH 112 001-007]
2025-03-31,event-assignment-1073937,"Chapter 4 Review (pages 365-367): #11, 15, 21, 45, 52, 71\n\n","Paper HW #33: Practice Exam 3, version 1 [MATH 112 001-007]"
2025-03-31,event-assignment-1098450,"\n- Lecture 22 - Machine Learning & Intro to the WWW\n \n\nIn this lecture we finish off our discussion of Machine Learning by talking about Chat GPT and looking at Machine Translation.\n\nWe then pivot to an introduction to the World Wide Web as start discussing topics for Project 4. In this lecture we talk about the history and creation of the internet, the development of the World Wide Web, the Hyper-Text Transfer Protocol (HTTP), and the Hyper-Text Markup Language (HTML)\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nChatGPT\n \n\n Transcript Forthcoming\n\nMachine Translation\n \n\n Transcript Forthcoming\n\nThe Internet\n \n\n Transcript Forthcoming\n\nThe World Wide Web\n \n\n Transcript Forthcoming\n\nHTML Introduction\n \n\n Transcript Forthcoming\n\nHTML Tags\n \n\n Transcript Forthcoming\n\n \n\nHTML Attributes\n \n\n Transcript Forthcoming\n\n \n\nCSS\n \n\n Transcript Forthcoming\n\n \n\n \n\n \n\n",Videos - Lecture 22 - Machine Learning & Intro to the WWW [C S 111 - Winter25]
2025-04-01,event-assignment-1049354,"\n- Lab 19\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab19), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 19 [C S 111 - Winter25]
2025-04-01,event-assignment-1073975,Do WA 34 - 5.1/5.2 The Definite Integral on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #34: Section 5.1/5.2 [MATH 112 001-007]
2025-04-02,event-assignment-1049362,"\n- Project 3\n\n \n\n Instructions\n \n\n[Instructions for this project] (https://cs111.byu.edu/Projects/project03/), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\nAfter you've finished, please give your [feedback on this survey] (https://byu.az1.qualtrics.com/jfe/form/SV_6P9aonBkwyFbygm)\n\n \n\n \n\n",Project 3 [C S 111 - Winter25]
2025-04-02,event-assignment-1073935,"Section 5.1/5.2: Section 5.1: 1a, 13, 19, 23; Section 5.2: 5ab, 19, 25, 83",Paper HW #34 (Sect 5.1/5.2) [MATH 112 001-007]
2025-04-02,event-assignment-1098451,"\n- Lecture 23 - Requests & Beautiful Soup\n \n\nIn this lecture we look at two libraries commonly used to access and process web content. The requests library is used to handle the HTTP interactions of requesting and receiving web content while the Beautiful Soup library is used to actually work with the contents of the HTML pages once they have been downloaded.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nRequests\n \n\n Transcript Forthcoming\n\nThe Document Tree\n \n\n Transcript Forthcoming\n\nBeautiful Soup\n \n\n Transcript Forthcoming\n\nSearch Filters\n \n\n Transcript Forthcoming\n\n \n\n \n\n",Videos - Lecture 23 - Requests & Beautiful Soup [C S 111 - Winter25]
2025-04-03,event-assignment-1049355,"\n- Lab 20\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab20), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 20 [C S 111 - Winter25]
2025-04-03,event-assignment-1073976,Do WA 35 - 5.2 The Definite Integral on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #35: Section 5.2 [MATH 112 001-007]
2025-04-04,event-assignment-1073936,"Section 5.2: 35, 45, 53, 57, 60, 61, 62",Paper HW #35 (Sect 5.2) [MATH 112 001-007]
2025-04-05,event-assignment-1073978,Do WA 36 - 5.3a The Fundamental Theorem of Calculus on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #36: Section 5.3a [MATH 112 001-007]
2025-04-07,event-assignment-1073938,"Section 5.3a: 1, 3, 11, 15, 17, 20, 76, 83",Paper HW #36 (Sect 5.3a) [MATH 112 001-007]
2025-04-07,event-assignment-1098452,"\n- Lecture 24 - Hyperlinks & Robots\n \n\nIn this lecture, we take a close look at hyperlinks. How they are constructed, what forms they can take in documents, how to extract them from the DOM, and how we'll be working with them in Project 4.\n\nWe then start looking at how we can programmatically extract data from websites. As part of this we discuss the etiquette of having programs crawl webpages and how that is regulated on the web.\n\nOnline Sections\nWatch all of the videos in the tabs. In order to grasp the content presented in these videos, we encourage you to take notes during videos and to pause, review and re-watch videos as needed.\n\nOn-Campus Sections\nWatch any videos indicated by your instructor during class. You may also use these videos as a review of the material you learned in class.\n\n Lecture Videos\n \n\nHyperlinks\n \n\n Transcript Forthcoming\n\nAbsolute Links\n \n\n Transcript Forthcoming\n\nRelative Links\n \n\n Transcript Forthcoming\n\nSection Links\n \n\n Transcript Forthcoming\n\nMailto Links\n \n\n Transcript Forthcoming\n\nFinding Hyperlinks\n \n\n Transcript Forthcoming\n\n \n\nPageRank and Project 4\n \n\n Transcript Forthcoming\n\n \n\nRobots\n \n\n Transcript Forthcoming\n\n \n\nData Scraping\n \n\n Transcript Forthcoming\n\n \n\n \n\n \n\n",Videos - Lecture 24 - Hyperlinks & Robots [C S 111 - Winter25]
2025-04-08,event-assignment-1049356,"\n- Lab 21\n\n \n\n Instructions\n \n\n[Instructions for this lab] (https://cs111.byu.edu/Labs/lab21), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\n \n\n",Lab 21 [C S 111 - Winter25]
2025-04-08,event-assignment-1073979,Do WA 37 - 5.3b The Fundamental Theorem of Calculus on WebAssign [Link] (https://www.webassign.net/wa-auth/login),WebAssign HW #37: Section 5.3b [MATH 112 001-007]
2025-04-09,event-assignment-1049335,"\n- Homework 7\n\n \n\n Instructions\n \n\n[Instructions for this homework] (https://cs111.byu.edu/Homework/homework07), along with the starter and test files can be found on the course website.\n\nSubmit your work by clicking the button below.\n\n \n\nAfter you've finished, please give your [feedback on this survey] (https://byu.az1.qualtrics.com/jfe/form/SV_6P9aonBkwyFbygm)\n\n \n\n \n\n",Homework 7 [C S 111 - Winter25]
2025-04-09,event-assignment-1073939,"Section 5.3b: 27, 29, 41, 53, 63, 85, 86, 94",Paper HW #37 (Sect 5.3b) [MATH 112 001-007]
